catname,catdesc,eventname,starttime,venuename,venuecity,venuestate,qtysold,pricepaid
Musicals,Musical theatre,Fiddler on the Roof,2008-01-30 19:00:00,Lyceum Theatre,New York City,NY,2,696
Plays,All non-musical theatre,To Be or Not To Be,2008-02-22 14:30:00,Eugene O'Neill Theatre,New York City,NY,3,321
Pop,All rock and pop music concerts,Jonas Brothers,2008-01-25 14:00:00,Rose Garden,Portland,OR,1,126
Pop,All rock and pop music concerts,Counting Crows and Maroon 5,2008-02-27 15:00:00,AT&T Park,San Francisco,CA,3,231
Pop,All rock and pop music concerts,Old 97s,2008-02-11 15:00:00,Cleveland Browns Stadium,Cleveland,OH,1,139
Plays,All non-musical theatre,A Man For All Seasons,2008-01-17 14:30:00,American Airlines Theatre,New York City,NY,2,116
Musicals,Musical theatre,Gypsy,2008-01-16 15:00:00,The Guthrie Theater,Minneapolis,MN,1,362
Pop,All rock and pop music concerts,Amos Lee,2008-03-08 19:30:00,Jobing.com Arena,Glendale,AZ,1,309
Pop,All rock and pop music concerts,Michael Bolton,2008-02-28 14:00:00,Pepsi Center,Denver,CO,2,448
Pop,All rock and pop music concerts,Kid Rock,2008-01-17 20:00:00,General Motors Place,Vancouver,BC,4,692
Plays,All non-musical theatre,Cirque du Soleil,2008-02-27 14:00:00,San Jose Repertory Theatre,San Jose,CA,1,324
Plays,All non-musical theatre,Spring Awakening,2008-03-02 20:00:00,Gerald Schoenfeld Theatre,New York City,NY,2,684
Plays,All non-musical theatre,Passing Strange,2008-02-27 19:30:00,Studio 54,New York City,NY,1,342
Plays,All non-musical theatre,Glengarry Glen Ross,2008-02-19 14:00:00,Hilton Theatre,New York City,NY,1,1813
Pop,All rock and pop music concerts,Brooks and Dunn,2008-03-08 19:30:00,Dick's Sporting Goods Park,Commerce City,CO,1,904
Pop,All rock and pop music concerts,Natalie Cole,2008-02-27 19:00:00,null,null,null,1,2086
Plays,All non-musical theatre,Look Back in Anger,2008-02-03 19:30:00,Majestic Theatre,New York City,NY,2,80
Pop,All rock and pop music concerts,Idina Menzel,2008-03-04 19:30:00,American Airlines Center,Dallas,TX,1,139
Musicals,Musical theatre,Memphis - The Birth of Rock n Roll,2008-02-13 15:00:00,Shubert Theatre,New York City,NY,1,55
Pop,All rock and pop music concerts,George Thorogood and the Destroyers,2008-03-07 14:00:00,Shoreline Amphitheatre,Mountain View,CA,4,532
Plays,All non-musical theatre,The 39 Steps,2008-01-20 20:00:00,Majestic Theatre,New York City,NY,4,216
Pop,All rock and pop music concerts,Stone Temple Pilots,2008-02-24 19:00:00,U.S. Cellular Field,Chicago,IL,6,774
Pop,All rock and pop music concerts,Daughtry,2008-01-20 19:30:00,BankAtlantic Center,Sunrise,FL,2,274
Pop,All rock and pop music concerts,Matchbox Twenty,2008-02-15 19:00:00,Scotiabank Place,Ottawa,ON,3,540
Pop,All rock and pop music concerts,Manhattan Transfer,2008-01-17 14:00:00,Air Canada Centre,Toronto,ON,2,178
Musicals,Musical theatre,Folies Bergere,2008-02-28 14:00:00,Caesars Palace,Las Vegas,NV,1,161
Pop,All rock and pop music concerts,Black Crowes,2008-03-04 19:00:00,Great American Ball Park,Cincinnati,OH,1,287
Musicals,Musical theatre,Zumanity,2008-01-26 15:00:00,Paris MGM Grand,Las Vegas,NV,2,656
Pop,All rock and pop music concerts,Teddy Geiger,2008-01-29 19:30:00,Busch Stadium,St. Louis,MO,4,112
Pop,All rock and pop music concerts,Brian Jonestown Massacre,2008-02-17 19:00:00,Turner Field,Atlanta,GA,4,716
Pop,All rock and pop music concerts,Mariah Carey,2008-01-27 19:00:00,U.S. Cellular Field,Chicago,IL,2,246
Pop,All rock and pop music concerts,Keith Urban,2008-02-14 19:00:00,Tropicana Field,St. Petersburg,FL,3,159
Plays,All non-musical theatre,A Streetcar Named Desire,2008-01-30 15:00:00,Booth Theatre,New York City,NY,1,208
Pop,All rock and pop music concerts,El Monstero y Los Masked Avengers,2008-03-03 14:00:00,Rice-Eccles Stadium,Salt Lake City,UT,2,494
Musicals,Musical theatre,Jersey Boys,2008-02-18 14:30:00,Vivian Beaumont Theatre,New York City,NY,3,939
Opera,All opera and light opera,Salome,2008-02-15 15:00:00,Detroit Opera House,Detroit,MI,1,179
Pop,All rock and pop music concerts,Umphreys McGee,2008-03-12 19:00:00,Paul Brown Stadium,Cincinnati,OH,4,1676
Plays,All non-musical theatre,Rock 'n' Roll,2008-01-28 14:30:00,Walter Kerr Theatre,New York City,NY,2,470
Plays,All non-musical theatre,A Doll's House,2008-03-03 19:30:00,Eugene O'Neill Theatre,New York City,NY,4,112
Plays,All non-musical theatre,Wicked,2008-02-18 14:30:00,Ambassador Theatre,New York City,NY,2,606
Musicals,Musical theatre,Spamalot,2008-02-26 20:00:00,Biltmore Theatre,New York City,NY,2,116
Musicals,Musical theatre,Spamalot,2008-02-26 20:00:00,Biltmore Theatre,New York City,NY,3,174
Plays,All non-musical theatre,Look Back in Anger,2008-01-18 19:00:00,Nederlander Theatre,New York City,NY,3,738
Plays,All non-musical theatre,As You Like It,2008-01-27 19:30:00,San Jose Repertory Theatre,San Jose,CA,4,420
Plays,All non-musical theatre,A Streetcar Named Desire,2008-02-24 19:00:00,Longacre Theatre,New York City,NY,2,410
Musicals,Musical theatre,Legally Blonde,2008-03-02 19:00:00,Bellagio Hotel,Las Vegas,NV,3,1107
Pop,All rock and pop music concerts,Cafe Tacuba,2008-01-27 19:30:00,Gillette Stadium,Foxborough,MA,1,69
Plays,All non-musical theatre,Hamlet,2008-02-22 14:30:00,Palace Theatre,New York City,NY,2,326
Musicals,Musical theatre,Flower Drum Song,2008-02-01 19:30:00,Bernard B. Jacobs Theatre,New York City,NY,2,270
Plays,All non-musical theatre,The Bacchae,2008-03-04 14:00:00,Majestic Theatre,New York City,NY,4,1804
Pop,All rock and pop music concerts,Chaka Khan,2008-01-22 14:00:00,Texas Stadium,Irving,TX,3,282
Pop,All rock and pop music concerts,Yaz,2008-02-05 19:30:00,Jobing.com Arena,Glendale,AZ,2,276
Pop,All rock and pop music concerts,Oasis,2008-02-16 14:00:00,null,null,null,2,252
Pop,All rock and pop music concerts,Al Green,2008-02-01 14:00:00,Coors Field,Denver,CO,2,118
Pop,All rock and pop music concerts,Smashing Pumpkins,2008-01-24 19:00:00,Turner Field,Atlanta,GA,4,168
Pop,All rock and pop music concerts,Smashing Pumpkins,2008-01-24 19:00:00,Turner Field,Atlanta,GA,2,84
Musicals,Musical theatre,The King and I,2008-02-05 14:30:00,Hilton Theatre,New York City,NY,1,139
Pop,All rock and pop music concerts,James Taylor,2008-01-20 19:30:00,Rice-Eccles Stadium,Salt Lake City,UT,1,2210
Plays,All non-musical theatre,Look Back in Anger,2008-02-03 19:30:00,Majestic Theatre,New York City,NY,1,40
Plays,All non-musical theatre,The Frogs,2008-02-21 14:30:00,The Guthrie Theater,Minneapolis,MN,1,26
Pop,All rock and pop music concerts,Cowboy Junkies,2008-02-06 19:30:00,null,null,null,4,112
Musicals,Musical theatre,Blue Man Group,2008-02-22 19:30:00,Mirage Hotel,Las Vegas,NV,4,544
Pop,All rock and pop music concerts,Fab Faux,2008-01-26 19:00:00,FedExForum,Memphis,TN,2,234
Pop,All rock and pop music concerts,Cowboy Junkies,2008-01-23 19:00:00,New Orleans Arena,New Orleans,LA,4,288
Pop,All rock and pop music concerts,Kid Rock,2008-01-25 19:30:00,McAfee Coliseum,Oakland,CA,4,304
Pop,All rock and pop music concerts,Matisyahu,2008-01-20 19:00:00,Scottrade Center,St. Louis,MO,2,454
Musicals,Musical theatre,Pal Joey,2008-02-25 14:30:00,Paramount Theatre,Seattle,WA,1,176
Musicals,Musical theatre,Flower Drum Song,2008-02-09 19:30:00,Shubert Theatre,New York City,NY,2,680
Pop,All rock and pop music concerts,John Mellencamp,2008-02-05 19:00:00,Philips Arena,Atlanta,GA,2,276
Pop,All rock and pop music concerts,Steve Miller Band,2008-01-25 15:00:00,Tropicana Field,St. Petersburg,FL,1,120
Pop,All rock and pop music concerts,Hippiefest,2008-01-20 19:30:00,Dodger Stadium,Los Angeles,CA,2,444
Pop,All rock and pop music concerts,Shakira,2008-02-21 15:00:00,E.J. Nutter Center,Dayton,OH,2,416
Musicals,Musical theatre,Beatles LOVE,2008-02-23 20:00:00,Caesars Palace,Las Vegas,NV,1,237
Pop,All rock and pop music concerts,America,2008-01-31 19:30:00,Arrowhead Stadium,Kansas City,MO,1,438
Pop,All rock and pop music concerts,Teddy Geiger,2008-01-29 19:30:00,Busch Stadium,St. Louis,MO,3,84
Plays,All non-musical theatre,Uncle Vanya,2008-01-20 19:30:00,Minskoff Theatre,New York City,NY,2,662
Pop,All rock and pop music concerts,Enrique Iglesias,2008-03-03 15:00:00,AT&T Center,San Antonio,TX,4,476
Pop,All rock and pop music concerts,Steely Dan,2008-02-01 14:00:00,Philips Arena,Atlanta,GA,1,24
Pop,All rock and pop music concerts,Dennis DeYoung,2008-02-01 14:00:00,PNC Park,Pittsburgh,PA,2,972
Pop,All rock and pop music concerts,Bow Wow,2008-01-29 19:00:00,Prudential Center,Newark,NJ,2,776
Plays,All non-musical theatre,The Homecoming,2008-01-26 19:30:00,Bernard B. Jacobs Theatre,New York City,NY,1,453
Pop,All rock and pop music concerts,Monsters of Rock,2008-02-03 15:00:00,RBC Center,Raleigh,NC,4,1840
Musicals,Musical theatre,Memphis - The Birth of Rock n Roll,2008-01-27 14:30:00,Booth Theatre,New York City,NY,4,1188
Musicals,Musical theatre,Phantom of the Opera,2008-01-31 14:00:00,Hilton Hotel,Las Vegas,NV,4,1172
Plays,All non-musical theatre,The Caretaker,2008-01-25 19:30:00,Pasadena Playhouse,Pasadena,CA,1,437
Plays,All non-musical theatre,The Country Girl,2008-02-05 19:00:00,Paramount Theatre,Seattle,WA,4,2000
Opera,All opera and light opera,Eugene Onegin,2008-02-10 20:00:00,Lyric Opera House,Baltimore,MD,1,979
Musicals,Musical theatre,O - Cirque du Soleil,2008-02-09 15:00:00,Harrahs Hotel,Las Vegas,NV,1,1996
Pop,All rock and pop music concerts,Bruce Hornsby,2008-01-20 19:00:00,Rice-Eccles Stadium,Salt Lake City,UT,4,8148
Pop,All rock and pop music concerts,Black Kids,2008-02-13 19:30:00,Lincoln Financial Field,Philadelphia,PA,2,1996
Pop,All rock and pop music concerts,Donny Osmond,2008-03-12 19:30:00,Time Warner Cable Arena,Charlotte,NC,2,290
Pop,All rock and pop music concerts,G. Love and Special Sauce,2008-02-12 19:30:00,General Motors Place,Vancouver,BC,2,370
Musicals,Musical theatre,A Chorus Line,2008-01-20 14:00:00,Circle in the Square Theatre,New York City,NY,1,91
Musicals,Musical theatre,Fiddler on the Roof,2008-03-02 20:00:00,Imperial Theatre,New York City,NY,2,298
Pop,All rock and pop music concerts,Kenny Rogers,2008-01-29 19:00:00,Shea Stadium,New York City,NY,1,182
Pop,All rock and pop music concerts,G. Love and Special Sauce,2008-02-19 19:30:00,United Center,Chicago,IL,4,308
Pop,All rock and pop music concerts,George Thorogood and the Destroyers,2008-03-07 14:00:00,Shoreline Amphitheatre,Mountain View,CA,2,266
Pop,All rock and pop music concerts,Maze,2008-02-18 19:00:00,Buck Shaw Stadium,Santa Clara,CA,1,98
Pop,All rock and pop music concerts,U2,2008-03-04 15:00:00,null,null,null,1,40
Musicals,Musical theatre,Flower Drum Song,2008-02-09 19:30:00,Shubert Theatre,New York City,NY,4,1360
Musicals,Musical theatre,Mystere Cirque du Soleil,2008-02-28 19:00:00,Hilton Hotel,Las Vegas,NV,3,603
Pop,All rock and pop music concerts,Trace Adkins,2008-01-31 14:00:00,Prudential Center,Newark,NJ,1,92
Pop,All rock and pop music concerts,Black Crowes,2008-03-04 19:00:00,Great American Ball Park,Cincinnati,OH,2,574
Pop,All rock and pop music concerts,Hall and Oates,2008-02-25 19:30:00,BMO Field,Toronto,ON,2,64
Plays,All non-musical theatre,The Homecoming,2008-01-22 19:30:00,John Golden Theatre,New York City,NY,4,736
Pop,All rock and pop music concerts,Ben Folds,2008-02-03 19:00:00,Qwest Field,Seattle,WA,1,369
Pop,All rock and pop music concerts,Gordon Lightfoot,2008-02-10 19:30:00,null,null,null,1,212
Pop,All rock and pop music concerts,Eddie Money,2008-02-10 19:00:00,Quicken Loans Arena,Cleveland,OH,4,376
Pop,All rock and pop music concerts,Foo Fighters,2008-02-10 15:00:00,LP Field,Nashville,TN,1,239
Opera,All opera and light opera,La Boheme,2008-03-02 14:30:00,Lyric Opera House,Chicago,IL,1,60
Pop,All rock and pop music concerts,Tina Turner,2008-01-16 19:00:00,New Orleans Arena,New Orleans,LA,4,1968
Plays,All non-musical theatre,Spring Awakening,2008-02-17 15:00:00,Paramount Theatre,Seattle,WA,1,243
Pop,All rock and pop music concerts,Billy Idol,2008-02-04 19:00:00,Oracle Arena,Oakland,CA,1,51
Pop,All rock and pop music concerts,Black Crowes,2008-02-08 14:00:00,Yankee Stadium,New York City,NY,1,275
Plays,All non-musical theatre,As You Like It,2008-01-18 19:00:00,George Gershwin Theatre,New York City,NY,1,145
Plays,All non-musical theatre,Our Town,2008-01-16 14:30:00,Brooks Atkinson Theatre,New York City,NY,2,42
Pop,All rock and pop music concerts,ZZ Top,2008-02-08 14:00:00,United Center,Chicago,IL,1,196
Musicals,Musical theatre,Grease,2008-02-12 15:00:00,Charles Playhouse,Boston,MA,1,76
Plays,All non-musical theatre,Wicked,2008-02-18 14:30:00,Ambassador Theatre,New York City,NY,2,3100
Pop,All rock and pop music concerts,Suzanne Vega,2008-01-31 14:00:00,University of Phoenix Stadium,Glendale,AZ,1,173
Plays,All non-musical theatre,For Colored Girls Who Have Considered Suicide When the Rainbow is Enuf,2008-02-02 19:30:00,Circle in the Square Theatre,New York City,NY,4,804
Musicals,Musical theatre,Oliver!,2008-02-08 14:00:00,Lyceum Theatre,New York City,NY,1,150
Pop,All rock and pop music concerts,Zappa Plays Zappa,2008-01-16 15:00:00,Toyota Park,Bridgeview,IL,1,197
Pop,All rock and pop music concerts,Zappa Plays Zappa,2008-03-05 19:00:00,Air Canada Centre,Toronto,ON,2,496
Plays,All non-musical theatre,Hamlet,2008-01-25 14:30:00,Nederlander Theatre,New York City,NY,2,236
Plays,All non-musical theatre,Cirque du Soleil,2008-03-09 15:00:00,John Golden Theatre,New York City,NY,1,54
Pop,All rock and pop music concerts,Jesse McCartney,2008-02-04 19:30:00,Bradley Center,Milwaukee,WI,2,134
Pop,All rock and pop music concerts,Kenny Rogers,2008-01-29 19:00:00,Shea Stadium,New York City,NY,2,628
Pop,All rock and pop music concerts,Stone Temple Pilots,2008-02-14 15:00:00,Scotiabank Place,Ottawa,ON,3,960
Musicals,Musical theatre,Mary Poppins,2008-03-01 14:00:00,Royce Hall,Los Angeles,CA,1,354
Pop,All rock and pop music concerts,Ice Cube,2008-01-21 14:00:00,Safeco Field,Seattle,WA,4,1844
Pop,All rock and pop music concerts,Neil Diamond,2008-01-14 19:30:00,Dodger Stadium,Los Angeles,CA,2,920
Pop,All rock and pop music concerts,Neil Diamond,2008-01-14 19:30:00,Dodger Stadium,Los Angeles,CA,1,35
Pop,All rock and pop music concerts,Cowboy Junkies,2008-01-28 15:00:00,Citizens Bank Park,Philadelphia,PA,3,324
Plays,All non-musical theatre,The Homecoming,2008-02-14 19:30:00,The Guthrie Theater,Minneapolis,MN,1,140
Plays,All non-musical theatre,Electra,2008-02-13 14:30:00,St. James Theatre,New York City,NY,1,126
Plays,All non-musical theatre,Rock 'n' Roll,2008-03-01 19:00:00,Al Hirschfeld Theatre,New York City,NY,2,474
Plays,All non-musical theatre,A Man For All Seasons,2008-01-17 14:30:00,American Airlines Theatre,New York City,NY,3,780
Pop,All rock and pop music concerts,Conor Oberst,2008-01-19 19:30:00,Great American Ball Park,Cincinnati,OH,2,570
Plays,All non-musical theatre,Electra,2008-01-30 15:00:00,Ambassador Theatre,New York City,NY,2,98
Plays,All non-musical theatre,Woyzeck,2008-03-07 19:00:00,Studio 54,New York City,NY,1,1486
Pop,All rock and pop music concerts,Gwen Stefani,2008-01-25 19:30:00,Dick's Sporting Goods Park,Commerce City,CO,2,2764
Pop,All rock and pop music concerts,Brad Paisley,2008-02-17 15:00:00,McAfee Coliseum,Oakland,CA,2,794
Plays,All non-musical theatre,The Caretaker,2008-01-14 15:00:00,George Gershwin Theatre,New York City,NY,1,1474
Plays,All non-musical theatre,Cirque du Soleil,2008-03-01 20:00:00,Palace Theatre,New York City,NY,2,54
Musicals,Musical theatre,Curtains,2008-01-23 14:00:00,Nederlander Theatre,New York City,NY,1,192
Plays,All non-musical theatre,The Caretaker,2008-02-15 19:30:00,Booth Theatre,New York City,NY,2,318
Pop,All rock and pop music concerts,Cowboy Junkies,2008-02-06 19:30:00,null,null,null,1,159
Plays,All non-musical theatre,Iphigenia,2008-02-23 19:00:00,George Gershwin Theatre,New York City,NY,1,117
Pop,All rock and pop music concerts,Gwen Stefani,2008-02-19 19:30:00,Buck Shaw Stadium,Santa Clara,CA,1,56
Pop,All rock and pop music concerts,Patty Griffin,2008-03-02 19:30:00,Safeco Field,Seattle,WA,1,80
Opera,All opera and light opera,La Damnation de Faust,2008-01-18 14:00:00,Ellie Caulkins Opera House,Denver,CO,4,696
Pop,All rock and pop music concerts,Ray Lamontagne,2008-02-19 15:00:00,Staples Center,Los Angeles,CA,1,148
Plays,All non-musical theatre,Look Back in Anger,2008-02-03 19:30:00,Majestic Theatre,New York City,NY,1,101
Pop,All rock and pop music concerts,Blues Brothers,2008-02-03 19:00:00,Monster Park,San Francisco,CA,2,924
Pop,All rock and pop music concerts,Armando Manzanero,2008-02-03 19:30:00,Jobing.com Arena,Glendale,AZ,2,776
Pop,All rock and pop music concerts,Bo Bice,2008-02-21 15:00:00,U.S. Cellular Field,Chicago,IL,2,914
Plays,All non-musical theatre,The Tempest,2008-01-20 14:00:00,Curran Theatre,San Francisco,CA,2,94
Plays,All non-musical theatre,The Farnsworth Invention,2008-02-14 20:00:00,The Guthrie Theater,Minneapolis,MN,2,558
Musicals,Musical theatre,Shrek the Musical,2008-02-19 15:00:00,Ambassador Theatre,New York City,NY,1,74
Pop,All rock and pop music concerts,Wilco,2008-02-23 14:00:00,Amway Arena,Orlando,FL,2,172
Pop,All rock and pop music concerts,Calibash,2008-02-26 20:00:00,Raymond James Stadium,Tampa,FL,1,225
Pop,All rock and pop music concerts,Boz Scaggs,2008-02-05 14:00:00,Oracle Arena,Oakland,CA,1,476
Pop,All rock and pop music concerts,Juan Luis Guerra,2008-02-18 19:00:00,Rose Garden,Portland,OR,4,112
Musicals,Musical theatre,A Chorus Line,2008-01-30 19:30:00,Majestic Theatre,New York City,NY,1,45
Musicals,Musical theatre,Mary Poppins,2008-01-16 19:00:00,Longacre Theatre,New York City,NY,1,174
Pop,All rock and pop music concerts,The Jesus and Mary Chain,2008-01-15 19:00:00,Nationals Park,Washington,DC,1,2342
Pop,All rock and pop music concerts,Snoop Dogg,2008-01-18 19:30:00,Saratoga Springs Performing Arts Center,Saratoga Springs,NY,2,3706
Pop,All rock and pop music concerts,G. Love and Special Sauce,2008-02-19 19:30:00,United Center,Chicago,IL,3,1392
Pop,All rock and pop music concerts,Gipsy Kings,2008-03-04 19:00:00,RFK Stadium,Washington,DC,1,443
Plays,All non-musical theatre,Endgame,2008-02-24 14:00:00,Carnegie Hall,New York City,NY,3,525
Plays,All non-musical theatre,The Seagull,2008-02-18 15:00:00,Bernard B. Jacobs Theatre,New York City,NY,2,222
Pop,All rock and pop music concerts,Jason Mraz,2008-02-25 14:00:00,Amway Arena,Orlando,FL,4,988
Musicals,Musical theatre,Legally Blonde,2008-03-02 19:00:00,Bellagio Hotel,Las Vegas,NV,2,104
Musicals,Musical theatre,Memphis - The Birth of Rock n Roll,2008-02-13 15:00:00,Shubert Theatre,New York City,NY,1,335
Pop,All rock and pop music concerts,Govt Mule,2008-02-01 14:00:00,Target Center,Minneapolis,MN,1,134
Pop,All rock and pop music concerts,Kenny Wayne Shepherd,2008-03-20 14:00:00,Shoreline Amphitheatre,Mountain View,CA,1,195
Pop,All rock and pop music concerts,Black Eyed Peas,2008-03-06 19:00:00,Fox Theatre,Redwood City,CA,1,316
Pop,All rock and pop music concerts,Calibash,2008-02-24 19:00:00,American Airlines Arena,Miami,FL,1,206
Plays,All non-musical theatre,Spring Awakening,2008-03-02 20:00:00,Gerald Schoenfeld Theatre,New York City,NY,1,296
Plays,All non-musical theatre,Macbeth,2008-03-01 19:00:00,Marquis Theatre,New York City,NY,1,78
Pop,All rock and pop music concerts,Bow Wow,2008-01-29 19:00:00,Prudential Center,Newark,NJ,1,223
Pop,All rock and pop music concerts,Motorhead,2008-01-27 19:30:00,Citizens Bank Park,Philadelphia,PA,1,123
Pop,All rock and pop music concerts,Ray Lamontagne,2008-02-19 15:00:00,Staples Center,Los Angeles,CA,4,996
Pop,All rock and pop music concerts,Enrique Iglesias,2008-03-03 15:00:00,AT&T Center,San Antonio,TX,1,238
Musicals,Musical theatre,Mary Poppins,2008-02-24 14:30:00,Hilton Theatre,New York City,NY,1,268
Pop,All rock and pop music concerts,Trace Adkins,2008-01-31 14:00:00,Prudential Center,Newark,NJ,2,718
Pop,All rock and pop music concerts,Eddie Vedder,2008-03-01 20:00:00,US Airways Center,Phoenix,AZ,2,910
Pop,All rock and pop music concerts,Peter Frampton,2008-02-14 14:00:00,M&T Bank Stadium,Baltimore,MD,2,956
Musicals,Musical theatre,Seven Brides for Seven Brothers,2008-03-01 15:00:00,Belasco Theatre,New York City,NY,1,78
Opera,All opera and light opera,Tristan und Isolde,2008-02-10 14:00:00,Kennedy Center Opera House,Washington,DC,4,424
Pop,All rock and pop music concerts,Bloc Party,2008-02-23 15:00:00,North Charleston Coliseum,Charleston,SC,1,285
Pop,All rock and pop music concerts,.38 Special,2008-02-10 19:00:00,Edward Jones Dome,St. Louis,MO,2,900
Pop,All rock and pop music concerts,Regina Spektor,2008-02-01 14:00:00,Kauffman Stadium,Kansas City,MO,1,136
Pop,All rock and pop music concerts,Killers,2008-02-23 19:00:00,Joe Louis Arena,Detroit,MI,1,189
Musicals,Musical theatre,Phantom of the Opera,2008-02-28 19:30:00,Sahara Hotel,Las Vegas,NV,1,827
Plays,All non-musical theatre,The Tempest,2008-02-04 14:30:00,Lyceum Theatre,New York City,NY,2,4950
Pop,All rock and pop music concerts,Christina Aguilera,2008-02-28 14:30:00,Fenway Park,Boston,MA,2,368
Pop,All rock and pop music concerts,Joe Cocker,2008-02-16 14:00:00,Staples Center,Los Angeles,CA,2,100
Plays,All non-musical theatre,The 39 Steps,2008-03-13 19:00:00,Geffen Playhouse,Los Angeles,CA,4,964
Pop,All rock and pop music concerts,Wallflowers,2008-02-24 19:30:00,Air Canada Centre,Toronto,ON,2,490
Plays,All non-musical theatre,Hedda Gabler,2008-02-21 20:00:00,Carnegie Hall,New York City,NY,2,260
Pop,All rock and pop music concerts,Sound Tribe Sector 9,2008-03-02 15:00:00,Rose Garden,Portland,OR,2,58
Plays,All non-musical theatre,Macbeth,2008-01-30 19:30:00,Winter Garden Theatre,New York City,NY,2,338
Musicals,Musical theatre,Mamma Mia!,2008-02-01 14:00:00,Lunt-Fontanne Theatre,New York City,NY,2,542
Pop,All rock and pop music concerts,Justin Timberlake,2008-03-05 19:00:00,US Airways Center,Phoenix,AZ,1,315
Opera,All opera and light opera,Orfeo ed Euridice,2008-03-19 14:30:00,Lyric Opera House,Chicago,IL,1,37
Pop,All rock and pop music concerts,Shakira,2008-02-21 15:00:00,E.J. Nutter Center,Dayton,OH,2,586
Pop,All rock and pop music concerts,Red Hot Chili Peppers,2008-02-04 15:00:00,Nationwide Arena,Columbus,OH,1,308
Plays,All non-musical theatre,A Man For All Seasons,2008-02-09 19:30:00,Longacre Theatre,New York City,NY,4,712
Pop,All rock and pop music concerts,Black Crowes,2008-03-04 19:00:00,Great American Ball Park,Cincinnati,OH,2,70
Plays,All non-musical theatre,Macbeth,2008-02-08 15:00:00,San Jose Repertory Theatre,San Jose,CA,2,810
Musicals,Musical theatre,Fiddler on the Roof,2008-03-09 20:00:00,August Wilson Theatre,New York City,NY,2,158
Plays,All non-musical theatre,Look Back in Anger,2008-02-06 20:00:00,Eugene O'Neill Theatre,New York City,NY,2,824
Plays,All non-musical theatre,The Homecoming,2008-01-31 15:00:00,Majestic Theatre,New York City,NY,1,296
Pop,All rock and pop music concerts,Zappa Plays Zappa,2008-03-05 19:00:00,Air Canada Centre,Toronto,ON,1,326
Pop,All rock and pop music concerts,The National,2008-02-13 19:00:00,Tropicana Field,St. Petersburg,FL,1,340
Musicals,Musical theatre,Zumanity,2008-03-05 19:30:00,Mandalay Bay Hotel,Las Vegas,NV,1,123
Pop,All rock and pop music concerts,Smash Mouth,2008-02-20 14:00:00,PNC Park,Pittsburgh,PA,4,1312
Pop,All rock and pop music concerts,Ray Davies,2008-01-27 14:30:00,PETCO Park,San Diego,CA,1,436
Pop,All rock and pop music concerts,Blake Shelton,2008-01-26 19:30:00,Madison Square Garden,New York City,NY,2,516
Musicals,Musical theatre,Hairspray,2008-01-29 15:00:00,Helen Hayes Theatre,New York City,NY,4,1360
Pop,All rock and pop music concerts,Melissa Etheridge,2008-02-07 19:00:00,LP Field,Nashville,TN,4,1872
Pop,All rock and pop music concerts,Tom Jones,2008-03-08 15:00:00,LP Field,Nashville,TN,2,952
Pop,All rock and pop music concerts,Wynonna,2008-03-06 15:00:00,New York Giants Stadium,East Rutherford,NJ,1,23
Pop,All rock and pop music concerts,Cowboy Junkies,2008-02-06 19:30:00,null,null,null,2,910
Pop,All rock and pop music concerts,Donny Osmond,2008-03-08 19:00:00,Yankee Stadium,New York City,NY,4,800
Pop,All rock and pop music concerts,Rush,2008-02-24 15:00:00,ARCO Arena,Sacramento,CA,4,92
Plays,All non-musical theatre,Rosencrantz and Guildenstern Are Dead,2008-02-26 14:00:00,Minskoff Theatre,New York City,NY,2,216
Pop,All rock and pop music concerts,El Tri,2008-03-10 15:00:00,Kauffman Stadium,Kansas City,MO,1,318
Pop,All rock and pop music concerts,Nashville Star,2008-02-28 19:00:00,Air Canada Centre,Toronto,ON,1,457
Plays,All non-musical theatre,The Glass Menagerie,2008-03-08 14:00:00,Paramount Theatre,Seattle,WA,3,1053
Pop,All rock and pop music concerts,The Guess Who,2008-02-02 15:00:00,Toyota Center,Houston,TX,1,170
Musicals,Musical theatre,Fiddler on the Roof,2008-01-30 19:00:00,Lyceum Theatre,New York City,NY,1,406
Musicals,Musical theatre,Fiddler on the Roof,2008-01-30 19:00:00,Lyceum Theatre,New York City,NY,2,812
Pop,All rock and pop music concerts,Armando Manzanero,2008-02-03 19:30:00,Jobing.com Arena,Glendale,AZ,1,49
Pop,All rock and pop music concerts,ZZ Top,2008-01-24 15:00:00,Rangers BallPark in Arlington,Arlington,TX,2,784
Opera,All opera and light opera,The Magic Flute,2008-02-10 20:00:00,Detroit Opera House,Detroit,MI,3,252
Plays,All non-musical theatre,The Glass Menagerie,2008-01-24 19:00:00,Walter Kerr Theatre,New York City,NY,1,393
Pop,All rock and pop music concerts,Broken Social Scene,2008-02-02 19:30:00,Paul Brown Stadium,Cincinnati,OH,3,1122
Pop,All rock and pop music concerts,Michael McDonald,2008-01-13 15:00:00,AT&T Park,San Francisco,CA,4,504
Opera,All opera and light opera,Simon Boccanegra,2008-01-11 19:00:00,San Francisco Opera,San Francisco,CA,1,1348
Pop,All rock and pop music concerts,George Michael,2008-02-21 14:00:00,Mountain Winery,Saratoga,CA,2,1236
Pop,All rock and pop music concerts,Jesse Lacey,2008-01-16 19:30:00,Toyota Center,Houston,TX,2,366
Opera,All opera and light opera,Carmen,2008-02-04 15:00:00,Detroit Opera House,Detroit,MI,1,186
